node1	interaction	node2	connections
1579	0	7369	2
55092	0	68697	2
4132	0	48017	4
12192	0	72652	2
446	0	6050	4
28365	0	36199	18
28486	0	3349	13
2319	0	3399	6
1323	0	27630	22
12056	0	88116	4
12146	0	45182	46
103595	0	45791	2
122159	0	78065	2
40380	0	6736	21
20199	0	56749	7
55463	0	86178	3
26785	0	40754	3
115858	0	86005	4
58117	0	8866	6
105329	0	37525	2
31043	0	59883	10
10449	0	14043	2
122206	0	80366	2
120239	0	78485	6
42828	0	73774	5
50345	0	69417	8
20052	0	95707	8
75191	0	84766	2
63867	0	86027	2
2613	0	9657	2
123364	0	59138	2
109198	0	54167	3
29099	0	36176	2
121185	0	70463	2
50346	0	99681	2
30682	0	4415	16
23139	0	86874	5
25086	0	29552	2
20989	0	24527	45
3098	0	9798	2
33557	0	8529	69
131775	0	84090	3
25287	0	72352	2
33241	0	7994	3
48685	0	58538	3
54244	0	56876	2
133190	0	87906	4
13422	0	53077	3
25063	0	6357	3
17115	0	34377	4
1642	0	91979	2
53819	0	58542	3
17826	0	70504	2
27933	0	76525	11
108388	0	64940	2
1934	0	5738	156
132347	0	74702	2
106774	0	63702	3
66915	0	95986	30
88434	0	90581	9
14581	0	36466	23
100025	0	34613	3
12545	0	1379	65
13677	0	26844	7
11709	0	88424	6
28261	0	47373	2
18086	0	46681	6
72102	0	97680	2
14847	0	9307	10
39755	0	59475	11
18158	0	18730	10
79881	0	81002	2
52001	0	72946	3
113111	0	72042	3
13976	0	35924	9
127995	0	64494	2
39881	0	4429	7
3246	0	3885	124
24605	0	3783	2
34593	0	40976	3
12407	0	30065	8
112157	0	54244	2
20171	0	37273	3
29900	0	58901	4
11975	0	5245	30
20472	0	30651	63
75080	0	95314	3
102827	0	33068	3
112858	0	119931	3
14286	0	46393	4
112637	0	124125	5
30375	0	91358	8
114929	0	49703	2
110595	0	119619	3
34766	0	80896	3
100068	0	71300	3
6602	0	912	3
54982	0	87998	2
402	0	47	6
13622	0	19816	4
49625	0	72809	2
14687	0	23382	2
41532	0	67009	3
18159	0	99450	5
16423	0	40709	3
44958	0	55033	2
24823	0	25700	10
58412	0	92332	8
107423	0	23618	4
79783	0	95148	3
102164	0	126545	5
35340	0	69840	3
30868	0	56838	4
35336	0	37731	2
13072	0	29969	12
117729	0	60285	6
36004	0	36005	36
125641	0	4263	5
58219	0	90329	19
115342	0	51111	7
13778	0	43174	4
67484	0	95897	2
19130	0	28652	2
125038	0	88854	5
37068	0	42438	3
48387	0	68093	8
2097	0	29486	5
13483	0	64377	45
18242	0	6062	9
18781	0	19501	3
32025	0	77446	7
21021	0	21822	10
71330	0	87897	3
1806	0	27847	2
44434	0	46878	3
116754	0	49268	2
100036	0	113474	2
21498	0	25264	14
19286	0	36624	28
133549	0	133723	2
39045	0	80726	5
2600	0	4280	2
24136	0	43458	3
116405	0	29943	4
48114	0	86318	8
22878	0	32829	3
106788	0	132497	4
33179	0	3874	12
19620	0	92404	3
114249	0	42125	5
114488	0	90274	2
16367	0	9059	8
116521	0	34682	3
44070	0	92943	2
51359	0	64838	3
63507	0	88676	4
151	0	236	5
100008	0	21074	2
26323	0	804	2
63237	0	76515	3
27097	0	66730	6
103469	0	131120	2
39982	0	4070	12
11355	0	31846	2
40437	0	52229	5
29758	0	42203	5
100098	0	132645	4
15837	0	32005	5
20761	0	58087	8
6309	0	69047	57
26874	0	2927	8
11223	0	26817	23
117505	0	26809	2
114810	0	21748	6
109097	0	27849	66
72982	0	83052	2
26037	0	78618	3
11039	0	5160	2
117204	0	133336	2
19909	0	52770	5
21400	0	65018	10
12311	0	93665	8
87824	0	9779	3
7403	0	86114	14
131747	0	37029	3
77497	0	8641	7
19506	0	4712	2
20666	0	62258	5
13484	0	57644	33
64517	0	76342	4
7973	0	8804	7
110664	0	125245	4
110798	0	131607	3
5094	0	93695	3
33730	0	54121	5
80794	0	93350	6
124932	0	83693	3
31264	0	44012	11
108554	0	59669	2
3568	0	8977	3
22272	0	50276	6
30439	0	30440	2
18797	0	43837	10
33468	0	72702	3
106346	0	69710	2
11599	0	31471	9
60640	0	93111	5
4111	0	67820	2
38547	0	38548	3
2374	0	31061	14
30133	0	70563	2
28951	0	66633	2
40753	0	40754	5
10271	0	12152	5
11206	0	19822	43
25614	0	32896	3
29519	0	30119	33
86606	0	9342	4
54725	0	79273	5
32654	0	41042	2
125385	0	63047	2
74854	0	89692	18
18612	0	19856	10
52940	0	71391	5
16511	0	18642	2
114834	0	41106	3
131976	0	35426	2
4367	0	5040	2
18773	0	32274	9
16751	0	22211	3
100829	0	3807	2
102619	0	31428	2
112605	0	42830	3
10019	0	2354	86
48336	0	88235	5
4786	0	7102	12
10526	0	28261	7
14577	0	21495	3
57265	0	83959	2
46483	0	57653	17
132050	0	70986	3
100699	0	73614	2
125474	0	78630	2
34673	0	39529	3
11621	0	84048	2
58826	0	90551	2
19564	0	28415	10
27997	0	54449	2
81716	0	94553	2
49912	0	73098	4
52299	0	96293	11
11064	0	85835	4
113723	0	99529	3
122379	0	55700	4
1743	0	890	4
18959	0	31056	134
123393	0	6426	4
17936	0	20528	2
101462	0	88780	4
12013	0	29811	9
11333	0	45622	3
31949	0	56469	28
12136	0	38125	4
47278	0	7202	2
54796	0	57090	2
116249	0	63066	3
34644	0	83602	22
11688	0	19435	5
71482	0	99105	2
26123	0	50496	2
17770	0	58746	4
36280	0	57873	6
10343	0	31888	41
13082	0	38581	2
35315	0	76697	9
41331	0	46211	2
13089	0	5048	11
27705	0	54511	4
102352	0	68144	2
10696	0	42674	5
11210	0	2412	2
10533	0	61155	4
26638	0	48755	5
15976	0	15977	9
16066	0	26481	5
82555	0	9413	2
102393	0	17500	5
19349	0	9011	25
8628	0	8629	11
11293	0	22039	5
115766	0	86143	4
20860	0	5597	5
115576	0	50230	5
18648	0	58725	9
18464	0	35059	5
23705	0	26548	2
16912	0	87809	3
15099	0	6416	80
30628	0	30629	3
12609	0	20484	12
19973	0	31446	5
13814	0	90105	2
18109	0	51883	3
22830	0	30567	19
3150	0	3753	255
100901	0	102904	6
50026	0	54268	2
107817	0	82193	7
12670	0	25408	3
28194	0	861	2
77611	0	88681	6
2290	0	513	17
105577	0	47197	5
43570	0	44347	35
51231	0	92641	2
26153	0	87932	3
103237	0	40549	4
14748	0	14794	6
15547	0	88960	2
113118	0	50601	2
19728	0	3139	2
3860	0	6698	53
105425	0	118125	2
88864	0	9160	2
35175	0	69469	3
11982	0	39610	2
12225	0	44229	8
23655	0	79352	2
42368	0	5535	61
62479	0	78182	2
12417	0	6901	2
4644	0	8556	5
33751	0	79637	7
129272	0	23928	3
40341	0	5634	3
129913	0	6751	2
1570	0	4112	67
112576	0	46856	4
46325	0	90105	2
13846	0	84662	2
101909	0	76958	3
109844	0	28608	2
105276	0	90964	2
61610	0	82193	3
58807	0	66531	3
31418	0	47306	8
12935	0	7311	2
46322	0	46774	4
107644	0	112566	2
44308	0	8419	18
106516	0	90066	3
10527	0	1760	34
22713	0	579	201
19133	0	19134	9
13484	0	72227	2
13711	0	75657	3
35503	0	35832	18
47799	0	67382	2
113568	0	34392	3
9423	0	9424	6
90536	0	92287	3
129150	0	73906	2
59387	0	63714	2
46383	0	89542	2
11446	0	37503	12
13104	0	19016	22
33513	0	9503	36
12173	0	86188	8
115195	0	42897	6
103524	0	93319	4
15484	0	25418	2
8275	0	87488	2
120186	0	8027	5
14085	0	30750	2
119922	0	96611	3
33346	0	6437	8
3607	0	36336	111
123553	0	74777	5
17767	0	31445	2
124311	0	133729	2
122036	0	80171	2
69877	0	98921	2
37311	0	55862	3
50824	0	91352	12
15904	0	9307	2
46997	0	74767	7
20308	0	22353	9
14119	0	7602	2
19157	0	51164	4
127754	0	42302	3
15362	0	55422	19
132173	0	13303	3
90405	0	90406	2
422	0	971	125
17127	0	54954	3
106802	0	92756	2
11153	0	45772	5
46464	0	80124	3
61324	0	74440	2
37277	0	8516	66
10704	0	4622	149
117698	0	124299	3
17735	0	48655	3
44455	0	48672	2
3054	0	3952	7
64768	0	8690	6
37422	0	96516	14
70575	0	90993	2
13301	0	79285	2
1859	0	19195	39
360	0	36331	2
123225	0	27698	4
10374	0	83685	3
73639	0	90675	2
114771	0	47198	12
105888	0	90248	2
10372	0	709	60
2048	0	69947	2
53619	0	77855	2
1484	0	5676	4
118232	0	90931	6
53489	0	98008	5
43020	0	8102	2
347	0	480	115
80695	0	9631	3
25779	0	82714	4
